Reference	Qty	Value	DNP	Exclude from BOM	Exclude from Board	Footprint	Datasheet
C1	1	1uF				Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~
C2	1	10uf				Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~
C3	1	100nf				Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~
C4	1	22uf				Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~
C5	1	NS				Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~
C6	1	220pf				Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~
C7,C8	2	18pf				Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~
C9,C10,C11,C12,C13	5	0.1uf				Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder	~
D1,D2	2	12V				Diode_SMD:D_SMA	~
D3,D5	2	SS10100B				Diode_SMD:D_SMB	~
D4	1	SS34				Diode_SMD:D_SMA	~
J1	1	USB_C_Receptacle_USB2.0_16P				Connector_USB:USB_C_Receptacle_G-Switch_GT-USB-7010ASV	https://www.usb.org/sites/default/files/documents/usb_type-c.zip
J2	1	SWD				Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical	~
J3	1	OLED				Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical	~
J4	1	O/P				Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical	~
J5	1	Bout				Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical	~
J6	1	Bin				Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical	~
L1	1	10uH				Inductor_SMD:L_10.4x10.4_H4.8	~
Q1,Q2	2	Q_PMOS_GDS				Package_TO_SOT_SMD:TO-252-3_TabPin2	~
R1	1	1K				Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	~
R2,R20,R21	3	10K				Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	~
R3,R7,R10	3	100K				Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	~
R4,R6	2	470				Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	~
R5,R8	2	150				Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	~
R9,R14	2	47K				Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	~
R11	1	200K				Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	~
R12	1	40.2K				Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	~
R13	1	124K				Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	~
R15,R16,R17,R18,R19	5	4.7K				Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	~
R22	1	68.1K				Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder	~
Shunt1	1	0.01				Resistor_SMD:R_2512_6332Metric	~
SW1	1	OnOff				Button_Switch_SMD:SW_SPST_B3S-1000	~
SW2	1	Mode				Button_Switch_SMD:SW_SPST_B3S-1000	~
SW3	1	Level				Button_Switch_SMD:SW_SPST_B3S-1000	~
TP1	1	Rst				Capacitor_SMD:C_1206_3216Metric	~
TP2	1	Boot				Capacitor_SMD:C_1206_3216Metric	~
U1	1	CH224K				Package_SO:SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm	https://www.wch.cn/downloads/file/301.html
U2,U3	2	EL817				Package_DIP:DIP-4_W7.62mm	http://www.everlight.com/file/ProductFile/EL817.pdf
U4	1	MP1584EN-LF-P				footprints:SOIC8E_MPS_MNP	https://www.monolithicpower.com/en/documentview/productdocument/index/version/2/document_type/Datasheet/lang/en/sku/MP1584EN-LF-Z
U5	1	STM32F030C8Tx				Package_QFP:LQFP-48_7x7mm_P0.5mm	https://www.st.com/resource/en/datasheet/stm32f030c8.pdf
U6	1	INA226				Package_SO:VSSOP-10_3x3mm_P0.5mm	http://www.ti.com/lit/ds/symlink/ina226.pdf
Y1	1	8MHz				Crystal:Crystal_SMD_HC49-SD	~
